local_year_month,Unnamed: 0,V1,station_id,B1,B2,B3,B4,id,organization,region,local,lat,long,date,chla,tss,secchi,acdom440,predicted
Curuai_2003_11,560,4630,Curuai_11_2003_PCN52,0.0170455239677519,0.0246414236042253,0.0296332953245081,0.0316520112278118,45,LabISA-INPE,AMZ,Curuai,-2.20108,-55.7971,2003-11-28,21.407,252.52,0.08,,0.08136916
Curuai_2003_11,561,4631,Curuai_11_2003_PCN53,0.019366556642614,0.029513446150111,0.0348775407333424,0.0331350067078481,45,LabISA-INPE,AMZ,Curuai,-2.18561,-55.825901,2003-11-28,18.5769,286.87,0.08,,0.073107034
Curuai_2003_11,562,4632,Curuai_11_2003_PCN54,0.022382733242468,0.033761108920496,0.0401158229911887,0.0415635078531807,45,LabISA-INPE,AMZ,Curuai,-2.17653,-55.7985,2003-11-28,26.8494,446.23,0.07,,0.06687845
Curuai_2003_11,563,4633,Curuai_11_2003_PCN55,0.0203156079024508,0.0329998654521458,0.0382272590483084,0.0244259765898487,45,LabISA-INPE,AMZ,Curuai,-2.16364,-55.830601,2003-11-28,23.584,110.79,0.11,,0.13302061
Curuai_2003_11,564,4634,Curuai_11_2003_PCN56,0.0178298576645993,0.0239743253800337,0.0285461695187871,0.0356537358861238,45,LabISA-INPE,AMZ,Curuai,-2.19867,-55.850399,2003-11-28,27.696,515.39,0.06,,0.07354039
Curuai_2003_11,565,4635,Curuai_11_2003_PCN57,0.0174206721727906,0.0238689042261427,0.0284832492753464,0.0336766750292367,45,LabISA-INPE,AMZ,Curuai,-2.22117,-55.8172,2003-11-28,20.8023,475.74,0.07,,0.07767513
Curuai_2003_11,566,4636,Curuai_11_2003_PCN58,0.0231430352882271,0.0327615658700833,0.0384316526934152,0.0474558156207928,45,LabISA-INPE,AMZ,Curuai,-2.15169,-55.773998,2003-11-28,26.6075,1137.75,0.06,,0.05518637
Curuai_2003_11,567,4637,Curuai_11_2003_PCN59,0.021155268509821,0.0306014491250762,0.036242122971711,0.0431571796859151,45,LabISA-INPE,AMZ,Curuai,-2.15503,-55.7612,2003-11-28,21.0441,772.7,0.06,,0.056036986
Curuai_2003_11,568,4638,Curuai_11_2003_PCN60,0.0217021610853558,0.0300978414647553,0.0349699535003891,0.0408918273298135,45,LabISA-INPE,AMZ,Curuai,-2.16469,-55.765099,2003-11-28,24.6724,816.46,0.06,,0.05571433
Curuai_2003_11,569,4639,Curuai_11_2003_PCN61,0.0231502158432967,0.032550616599231,0.0373880724542763,0.0410473751586889,45,LabISA-INPE,AMZ,Curuai,-2.05014,-55.4827,2003-11-30,22.6164,561.24,0.07,,0.061583348
