local_year_month,Unnamed: 0,station_id,B1,B2,B3,B4,B5,B6,B7,B8,B8A,id,organization,region,local,lat,long,date,chla,tss,secchi,acdom440,predicted
Curuai_2004_06,122,Curuai_06_2004_PCJ110,0.0063242649491507,0.0106730712232841,0.0101635374312892,0.009559925194196,0.0045620547756036,0.0040855298756542,0.0037654120304866,0.0031925590202107,0.0031925590202107,41,LabISA-INPE,AMZ,Curuai,-2.25394,-55.525799,2004-06-19,19.406,11.3025,0.7,,0.7964889
Curuai_2004_06,123,Curuai_06_2004_PCJ111,0.0041936080981786,0.0057787288926079,0.0051444050874063,0.0046578777221696,0.002017318726235,0.0018167737182844,0.0016321662292226,0.0014021682963374,0.0014021682963374,41,LabISA-INPE,AMZ,Curuai,-2.25133,-55.548901,2004-06-03,15.148,7.329,0.9,,0.9931042
Curuai_2004_06,124,Curuai_06_2004_PCJ112,0.003752330802788,0.0055913569610297,0.0052093218063807,0.0046117627512674,0.0019235505134203,0.0016873600918646,0.0015707791353993,0.001334667233408,0.001334667233408,41,LabISA-INPE,AMZ,Curuai,-2.23689,-55.609299,2004-06-06,10.631,6.548,1.2,,0.9976111
Curuai_2004_06,125,Curuai_06_2004_PCJ113,0.0056055611700304,0.0121806178796889,0.0102219654351034,0.0112206279932697,0.0054288238965176,0.0044523561137542,0.003867377181487,0.002816395596026,0.002816395596026,41,LabISA-INPE,AMZ,Curuai,-2.27236,-55.403301,2004-06-19,38.889,15.2963,0.6,,0.56238395
Curuai_2004_06,126,Curuai_06_2004_PCJ114,0.0221855127822218,0.0353521695474658,0.0316921975334191,0.0314040406186397,0.0180181685215319,0.0171164664247441,0.0157653421962147,0.0142820100853229,0.0142820100853229,41,LabISA-INPE,AMZ,Curuai,-2.22853,-55.310799,2004-06-19,31.655,12.8263,0.55,,0.32622725
Curuai_2004_06,127,Curuai_06_2004_PCJ115,0.0113479452559597,0.0199303330537365,0.0194468726712929,0.0187256724812171,0.0096152208398396,0.0084783826579012,0.0077086611455583,0.0064429595649242,0.0064429595649242,41,LabISA-INPE,AMZ,Curuai,-2.17781,-55.220901,2004-06-19,19.588,12.4263,0.65,,0.44531572
Curuai_2004_06,128,Curuai_06_2004_PCJ12,0.0041811114748315,0.0059944250381323,0.004909189263076,0.0054595613076799,0.0025991100765922,0.0022157128699137,0.0019286711408537,0.0014576655311347,0.0014576655311347,41,LabISA-INPE,AMZ,Curuai,-2.10836,-55.7729,2004-06-09,37.645,9.2875,0.75,,0.91257095
Curuai_2004_06,129,Curuai_06_2004_PCJ13,0.0044430408167134,0.0078409739997091,0.0081140784406669,0.0076915197285275,0.003413326628492,0.0028791094045522,0.0025363408336617,0.0018700726510778,0.0018700726510778,41,LabISA-INPE,AMZ,Curuai,-2.09161,-55.740101,2004-06-09,15.795,13.4543,0.5,,0.7216166
Curuai_2004_06,130,Curuai_06_2004_PCJ14,0.0143596090812584,0.0197177600156613,0.0217792892020626,0.0191151699912748,0.0101710158676077,0.009329688398501,0.0085977414625678,0.0075037129363974,0.0075037129363974,41,LabISA-INPE,AMZ,Curuai,-2.06758,-55.760899,2004-06-09,1.594,14.2857,0.4,,0.51649284
Curuai_2004_06,131,Curuai_06_2004_PCJ21,0.0039118997166842,0.0112264669081615,0.0073808464345224,0.0120038828715416,0.0076100461418832,0.0061437861714825,0.0049230891950812,0.0030101506975913,0.0030101506975913,41,LabISA-INPE,AMZ,Curuai,-2.08117,-55.6679,2004-06-13,131.275,25.228,0.4,,0.4421376
